,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,0,date,0.1,0.2,0.3,0
125,FF,,,,,2023-01-24,,,68.0,
126,FFIC,,,,,2023-01-24,,,31.0,
127,FGEN,,,,,2023-01-24,,,-7.0,
128,FHI,,,,,2023-01-24,,,17.0,
129,FHTX,,,,,2023-01-24,,,-17.0,
130,FIGS,,,,,2023-01-24,,,-18.0,
131,FIVN,,,,,2023-01-24,,,-2.0,
132,FLWS,,,,,2023-01-24,,,-15.0,
133,FMNB,,,,,2023-01-24,,,45.0,
134,FSBW,,,,,2023-01-24,,,18.0,
135,FSLY,,,,,2023-01-24,,,-14.0,
136,FSTX,,,,,2023-01-24,,,-25.0,
137,FTDR,,,,,2023-01-24,,,-5.0,
138,FTHM,,,,,2023-01-24,,,-23.0,
139,FVCB,,,,,2023-01-24,,,34.0,
140,GABC,,,,,2023-01-24,,,17.0,
141,GDRX,,,,,2023-01-24,,,-27.0,
142,GES,,,,,2023-01-24,,,28.0,
143,GFF,,,,,2023-01-24,,,-3.0,
144,GH,,,,,2023-01-24,,,-4.0,
145,GHLD,,,,,2023-01-24,,,57.0,
146,GMS,,,,,2023-01-24,,,11.0,
147,GNK,,,,,2023-01-24,,,38.0,
148,GNRC,,,,,2023-01-24,,,-1.0,
149,GNTY,,,,,2023-01-24,,,18.0,
150,GPI,,,,,2023-01-24,,,3.0,
151,GRPN,,,,,2023-01-24,,,-17.0,
152,GSBC,,,,,2023-01-24,,,11.0,
153,GTHX,,,,,2023-01-24,,,-22.0,
154,GVA,,,,,2023-01-24,,,15.0,
155,HAFC,,,,,2023-01-24,,,25.0,
156,HALL,,,,,2023-01-24,,,-24.0,
157,HAYN,,,,,2023-01-24,,,11.0,
158,HBT,,,,,2023-01-24,,,32.0,
159,HCAT,,,,,2023-01-24,,,-11.0,
160,HCC,,,,,2023-01-24,,,16.0,
161,HCCI,,,,,2023-01-24,,,17.0,
162,HCP,,,,,2023-01-24,,,-5.0,
163,HEAR,,,,,2023-01-24,,,-17.0,
164,HIBB,,,,,2023-01-24,,,9.0,
165,HOG,,,,,2023-01-24,,,14.0,
166,HRB,,,,,2023-01-24,,,-3.0,
167,HUBG,,,,,2023-01-24,,,7.0,
168,HWKN,,,,,2023-01-24,,,15.0,
169,HY,,,,,2023-01-24,,,-4.0,
170,IAC,,,,,2023-01-24,,,-2.0,
171,IBCP,,,,,2023-01-24,,,27.0,
172,IBOC,,,,,2023-01-24,,,14.0,
173,IDA,,,,,2023-01-24,,,6.0,
174,IHRT,,,,,2023-01-24,,,-19.0,
175,IMKTA,,,,,2023-01-24,,,6.0,
176,IMMR,,,,,2023-01-24,,,87.0,
177,IMNM,,,,,2023-01-24,,,-29.0,
178,INSM,,,,,2023-01-24,,,-6.0,
179,IOVA,,,,,2023-01-24,,,-19.0,
180,IRBT,,,,,2023-01-24,,,-3.0,
181,IRWD,,,,,2023-01-24,,,56.0,
182,ISTR,,,,,2023-01-24,,,29.0,
183,JXN,,,,,2023-01-24,,,15.0,
184,JYNT,,,,,2023-01-24,,,-8.0,
185,KALV,,,,,2023-01-24,,,-18.0,
186,KBH,,,,,2023-01-24,,,17.0,
187,KD,,,,,2023-01-24,,,-11.0,
188,KNTE,,,,,2023-01-24,,,-24.0,
189,KOD,,,,,2023-01-24,,,-18.0,
190,KOP,,,,,2023-01-24,,,19.0,
191,KVHI,,,,,2023-01-24,,,61.0,
192,LAW,,,,,2023-01-24,,,-20.0,
193,LBRT,,,,,2023-01-24,,,44.0,
194,LEGH,,,,,2023-01-24,,,33.0,
195,LMB,,,,,2023-01-24,,,49.0,
196,LMST,,,,,2023-01-24,,,25.0,
197,LOVE,,,,,2023-01-24,,,-5.0,
198,LPRO,,,,,2023-01-24,,,-17.0,
199,LPSN,,,,,2023-01-24,,,-12.0,
200,LUNG,,,,,2023-01-24,,,-17.0,
201,LWLG,,,,,2023-01-24,,,-24.0,
202,LYFT,,,,,2023-01-24,,,-9.0,
203,MBWM,,,,,2023-01-24,,,18.0,
204,MCBC,,,,,2023-01-24,,,62.0,
205,MCRB,,,,,2023-01-24,,,-27.0,
206,MDU,,,,,2023-01-24,,,20.0,
207,MDWT,,,,,2023-01-24,,,41.0,
208,MEC,,,,,2023-01-24,,,40.0,
209,MERC,,,,,2023-01-24,,,52.0,
210,MGNX,,,,,2023-01-24,,,-24.0,
211,MGTX,,,,,2023-01-24,,,-22.0,
212,MIRM,,,,,2023-01-24,,,-6.0,
213,MLI,,,,,2023-01-24,,,9.0,
214,MNTV,,,,,2023-01-24,,,-19.0,
215,MOFG,,,,,2023-01-24,,,19.0,
216,MOV,,,,,2023-01-24,,,18.0,
217,MPB,,,,,2023-01-24,,,21.0,
218,MRBK,,,,,2023-01-24,,,19.0,
219,MRNS,,,,,2023-01-24,,,-26.0,
220,MRSN,,,,,2023-01-24,,,-22.0,
221,MRTX,,,,,2023-01-24,,,-3.0,
222,MTG,,,,,2023-01-24,,,46.0,
223,MTH,,,,,2023-01-24,,,6.0,
224,MUR,,,,,2023-01-24,,,15.0,
225,NBTB,,,,,2023-01-24,,,16.0,
226,NCLH,,,,,2023-01-24,,,-9.0,
227,NEWR,,,,,2023-01-24,,,-2.0,
228,NFG,,,,,2023-01-24,,,10.0,
229,NG,,,,,2023-01-24,,,-21.0,
230,NGM,,,,,2023-01-24,,,-29.0,
231,NKSH,,,,,2023-01-24,,,16.0,
232,NMIH,,,,,2023-01-24,,,29.0,
233,NNI,,,,,2023-01-24,,,6.0,
234,NOTV,,,,,2023-01-24,,,-23.0,
235,NRIM,,,,,2023-01-24,,,12.0,
236,NRIX,,,,,2023-01-24,,,-11.0,
237,NSTG,,,,,2023-01-24,,,-14.0,
238,NTLA,,,,,2023-01-24,,,-3.0,
239,NTRA,,,,,2023-01-24,,,-3.0,
240,NWFL,,,,,2023-01-24,,,18.0,
241,NX,,,,,2023-01-24,,,26.0,
242,NXST,,,,,2023-01-24,,,3.0,
243,OCN,,,,,2023-01-24,,,17.0,
244,ODP,,,,,2023-01-24,,,12.0,
245,OLPX,,,,,2023-01-24,,,-25.0,
246,OMCL,,,,,2023-01-24,,,-2.0,
247,OMGA,,,,,2023-01-24,,,-19.0,
248,OPBK,,,,,2023-01-24,,,57.0,
249,OPRT,,,,,2023-01-24,,,-24.0,
250,OPRX,,,,,2023-01-24,,,-8.0,
251,ORC,,,,,2023-01-24,,,-12.0,
252,ORCC,,,,,2023-01-24,,,49.0,
253,OTTR,,,,,2023-01-24,,,10.0,
254,PAGP,,,,,2023-01-24,,,49.0,
255,PANL,,,,,2023-01-24,,,106.0,
256,PATK,,,,,2023-01-24,,,9.0,
