date,best,worst
2005-01,-0.005469759530192545,-0.10538857909632496
2005-02,0.05826328392489812,-0.04507421923917718
2005-03,-0.02473422185808884,-0.09092565927305257
2005-04,-0.04344670033780855,-0.0993552166892914
2005-05,0.04424060988356358,0.05963706986047328
2005-06,0.06173860497787244,0.021050881934352225
2005-07,0.06490876391791969,0.08194269779254683
2005-08,0.009860174073255621,-0.041654973793774835
2005-09,0.03400549857039109,-0.007601148833055049
2005-10,-0.021994131380633906,-0.07689882587234022
2005-11,0.0329605152797012,0.045495297698653306
2005-12,0.012591143994386579,0.013337139085051608
2006-01,0.08434177527735297,0.10830090283183381
2006-02,-0.017236660677613595,-0.00012951202457769768
2006-03,0.04703678024583494,0.05118465104693314
2006-04,0.010947594793688033,0.00039044824341545484
2006-05,-0.017065827555488782,-0.1069899334060028
2006-06,0.013818671853514384,-0.01830613198602804
2006-07,-0.0020267255872022357,-0.08910097968473563
2006-08,0.010110329732124224,0.028568368293344974
2006-09,0.014504593016899882,-0.02442084673035423
2006-10,0.029796846690005607,0.08279912773461547
2006-11,0.02111388291901676,0.0416402751528949
2006-12,0.018670160583787933,0.02142879695938972
2007-01,0.003790245911804963,0.05952873367350549
2007-02,-0.016951550180213805,0.009999084199662327
2007-03,0.00595660358434543,-0.014354638841468838
2007-04,0.007773871404060634,0.04588984340196475
2007-05,0.030768930063204598,-0.0010676220559980689
2007-06,-0.0040359194201300816,-0.011467646198871067
2007-07,-0.07114776414295192,-0.0686926523252623
2007-08,-0.019537086076670672,-0.02169287420125328
2007-09,-0.0006032832388882578,0.01662132601501071
2007-10,-0.013533767013868775,0.04014749372145161
2007-11,-0.054740655331697766,-0.1393365520046791
2007-12,0.0013366133644012723,-0.04592491508228703
2008-01,-0.016811647698632432,-0.04131030330259817
2008-02,0.0009056250569847199,-0.014024640392744904
2008-03,-0.015815020593290673,-0.06789361246163024
2008-04,0.017355668007439817,0.005344876255840066
2008-05,0.027972576324536928,0.06389390029660716
2008-06,-0.051354391170607396,-0.15414448119932783
2008-07,0.006161815947816648,-0.013532461284194138
2008-08,0.013279607682488849,0.030755636308749678
2008-09,-0.04234543546452186,-0.19773976994096298
2008-10,-0.1590509789410862,-0.2509121149010025
2008-11,-0.123492612184491,-0.14630838176759423
2008-12,0.0017870986010530049,-0.016488835558993737
2009-01,-0.0769643271260429,0.12407026476153987
2009-02,-0.11891721551248337,-0.13242065645521506
2009-03,0.05848988527315669,0.3091340895788744
2009-04,0.10537006327125707,0.34675113733537727
2009-05,0.07162875117792282,0.21292624652036465
2009-06,0.006668439549393956,0.050226240917108964
2009-07,0.05276085506775416,0.10087019957936719
2009-08,0.016317506495397538,0.29623145740362816
2009-09,0.022565723206062097,0.18890074650931638
2009-10,-0.04000148999435092,-0.11860088082728906
2009-11,0.004948876900016329,-0.0033125684727565346
2009-12,0.056371262382599506,0.05001294371613766
2010-01,-0.009002015439327793,0.09587153252097778
2010-02,0.04532775246741947,-0.007280992452870116
2010-03,0.08731667946674859,0.04949596101127099
2010-04,0.09376704111316939,0.23946574075846003
2010-05,-0.09572213674022347,-0.14233661682104864
2010-06,-0.07032004218392009,-0.16835585211869325
2010-07,0.06887378322891888,0.06506719068915116
2010-08,-0.050854361919336934,-0.12736470055504467
2010-09,0.09284647782944372,0.09756424070219508
2010-10,0.04305563604517373,0.03810797214275226
2010-11,0.029930091688001984,-0.04087097788418759
2010-12,0.08144460512296062,0.12813543732278046
2011-01,0.04080444152117706,0.08138542655960919
2011-02,0.06642648520646616,-0.014883270508289565
2011-03,0.03300843981990396,0.012720898992847656
2011-04,0.004922880002122831,-0.005996179189532993
2011-05,-0.02745208192154677,-0.02753877379873301
2011-06,-0.006791222517531419,-0.06139453404859521
2011-07,-0.00415321969572687,-0.032772843589773386
2011-08,-0.0818906843886725,-0.14772231147857381
2011-09,-0.11118030030687802,-0.1654763090342749
2011-10,0.1429716050229035,0.12548283680254826
2011-11,0.013432596219354307,-0.04698861166281858
2011-12,0.013242542254738506,-0.017333277690049723
2012-01,0.06654835057328452,0.21058021522767376
2012-02,0.042235207380726926,0.042007279011668286
2012-03,0.014689047558931632,0.0416862286493415
2012-04,-0.01111157888311936,-0.0032600252336123852
2012-05,-0.07459670918062326,-0.10071962774934944
2012-06,0.04316164894975371,0.007028496235143396
2012-07,0.0017357856355374691,-0.0016801872321229796
2012-08,0.022278008708344704,0.006020099638262769
2012-09,0.02872799523075999,0.10455981884751964
2012-10,-0.004221025464357804,-0.07527882688445969
2012-11,0.0025142174868960916,-0.00015464643482118317
2012-12,0.024387256435002187,0.01133504222903866
2013-01,0.08703452439978716,0.12124521151359659
2013-02,0.016622142965215962,-0.0035797515173908246
2013-03,0.039871606503584164,0.06011596235621255
2013-04,-0.0003658691450254968,0.006140338457844344
2013-05,0.03971070508792763,0.07599369853327516
2013-06,-0.0088728688439005,-0.02215546234190696
2013-07,0.08206398561188505,0.14519617982557972
2013-08,-0.024771959829668032,-0.04809918196697253
2013-09,0.04703276155589262,0.0789099515567068
2013-10,0.04672425577475222,-0.02193100386153673
2013-11,0.03730319465652945,0.07360386836575344
2013-12,0.014542331547854696,0.0447253523702966
2014-01,-0.01939000320096964,0.0752817952260375
2014-02,0.05643874287605284,0.06105519957462092
2014-03,0.02094458055374595,-0.0360079804516863
2014-04,0.004244338059215805,-0.09564224891655611
2014-05,-0.0004246711079031188,-0.033615292687391045
2014-06,0.05406689943192757,0.059215571538625215
2014-07,-0.046522433703066766,-0.0533082279175869
2014-08,0.03916265981242757,0.054649511985480785
