ticker,roe,date,pb,marketcap,date,price,size_rank
MOFG,0.0374709511652265,2023-01-17,1.1,517.8,2023-01-17,33.14,1821.0
MTG,0.054586477773217214,2023-01-17,0.9,3962.3,2023-01-17,13.34,788.0
MTH,0.07692055224530978,2023-01-17,1.0,3652.0,2023-01-17,99.86,826.0
MUR,0.12252544865263928,2023-01-17,1.4,6544.7,2023-01-17,42.1,555.0
NCSM,0.04571594539645658,2023-01-17,0.7,59.9,2023-01-17,24.85,2387.0
NMIH,0.050382534299570125,2023-01-17,1.2,1792.8,2023-01-17,21.45,1202.0
NSYS,0.057019663234583504,2023-01-17,1.2,34.9,2023-01-17,12.98,2426.0
OCN,0.06791318496456247,2023-01-17,0.5,262.8,2023-01-17,34.62,2077.0
ONEW,0.05109331083339269,2023-01-17,1.2,465.3,2023-01-17,29.59,1868.0
OPBK,0.05103485710240011,2023-01-17,1.0,170.7,2023-01-17,11.23,2218.0
ORCC,0.046529847070162465,2023-01-17,0.9,5139.4,2023-01-17,13.05,656.0
PANL,0.06531909224009595,2023-01-17,0.9,266.8,2023-01-17,5.81,2071.0
PBF,0.3356207904435125,2023-01-17,1.2,4922.8,2023-01-17,40.18,673.0
PFSI,0.03904044190403552,2023-01-17,0.9,3214.7,2023-01-17,64.19,898.0
PGC,0.038679745696911925,2023-01-17,1.3,650.3,2023-01-17,36.29,1721.0
PINE,0.04398424310635903,2023-01-17,1.0,235.3,2023-01-17,19.75,2126.0
PKBK,0.042309436931241146,2023-01-17,1.0,247.9,2023-01-17,20.79,2109.0
PLAB,0.04358369457073707,2023-01-17,1.4,1131.7,2023-01-17,18.33,1461.0
PNBK,0.03889502023343701,2023-01-17,0.7,41.8,2023-01-17,10.555,2421.0
PNRG,0.11144718670835134,2023-01-17,1.4,176.1,2023-01-17,91.7,2210.0
PRIM,0.0416732023106164,2023-01-17,1.2,1315.6,2023-01-17,24.77,1386.0
PRM,0.06941813332768894,2023-01-17,1.2,1446.8,2023-01-17,9.2,1319.0
PTVE,0.13924050632911392,2023-01-17,1.3,1922.1,2023-01-17,10.81,1165.0
QCRH,0.0394193272312814,2023-01-17,1.2,849.1,2023-01-17,50.29,1593.0
RDN,0.050440579176293236,2023-01-17,0.8,3109.1,2023-01-17,19.8,918.0
RFP,0.04309063893016345,2023-01-17,0.8,1652.2,2023-01-17,21.51,1250.0
RNGR,0.055944055944055944,2023-01-17,1.1,283.8,2023-01-17,11.41,2052.0
RYI,0.06536180308422301,2023-01-17,1.4,1195.5,2023-01-17,32.3,1429.0
SBOW,0.30119153018338873,2023-01-17,1.0,621.3,2023-01-17,27.85,1737.0
SCHL,0.06464629120879122,2023-01-17,1.2,1452.9,2023-01-17,42.72,1316.0
SCVL,0.06751414298474874,2023-01-17,1.4,703.1,2023-01-17,25.88,1685.0
SLCA,0.05127389349687602,2023-01-17,1.4,947.9,2023-01-17,12.52,1545.0
SM,0.1968342263487259,2023-01-17,1.4,4113.7,2023-01-17,33.5,762.0
SMMF,0.043196731867585526,2023-01-17,0.9,319.6,2023-01-17,25.01,2019.0
SPFI,0.04244114853029197,2023-01-17,1.4,482.5,2023-01-17,28.38,1853.0
SPWH,0.04601360719237311,2023-01-17,1.3,361.1,2023-01-17,9.58,1964.0
SXC,0.07679465776293823,2023-01-17,1.3,764.8,2023-01-17,9.17,1640.0
TBI,0.04441649694282471,2023-01-17,1.3,647.5,2023-01-17,19.79,1724.0
TCFC,0.041001563252213706,2023-01-17,1.3,229.2,2023-01-17,40.59,2138.0
TCI,0.9900122459232589,2023-01-17,0.5,403.0,2023-01-17,46.65,1918.0
THFF,0.0391111322966388,2023-01-17,1.2,548.1,2023-01-17,45.59,1798.0
THO,0.037904322515031195,2023-01-17,1.3,4831.7,2023-01-17,90.28,681.0
TMHC,0.07386427175692287,2023-01-17,0.8,3609.0,2023-01-17,33.31,827.0
TOL,0.11597036757009838,2023-01-17,1.0,6210.7,2023-01-17,56.09,576.0
TPH,0.05998876009721953,2023-01-17,0.8,2107.1,2023-01-17,20.88,1118.0
TROX,0.05318681318681319,2023-01-17,1.1,2497.7,2023-01-17,16.17,1036.0
TSRI,0.04484192398767726,2023-01-17,1.1,17.3,2023-01-17,8.11,2442.0
UBFO,0.04060872173889328,2023-01-17,1.3,136.6,2023-01-17,8.01,2275.0
UNTY,0.04502941722640168,2023-01-17,1.2,280.5,2023-01-17,26.6,2055.0
VSTO,0.074805172767091,2023-01-17,1.1,1538.2,2023-01-17,27.19,1283.0
VTLE,0.4967547567465737,2023-01-17,0.8,837.3,2023-01-17,49.8,1598.0
WEYS,0.0529402222801162,2023-01-17,1.2,255.6,2023-01-17,26.56,2094.0
WGO,0.04766402719858243,2023-01-17,1.4,1824.6,2023-01-17,59.74,1195.0
WTM,0.2672644660427888,2023-01-17,1.0,3737.5,2023-01-17,1450.77,817.0
X,0.04804863698764464,2023-01-17,0.6,6585.3,2023-01-17,28.11,552.0
